,peak_id,gene_short_name
122,chr9_35731852_35732722,TLN1
123,chr9_35731916_35732686,TLN1
124,chr9_35732068_35732679,TLN1
125,chr9_35732131_35732682,TLN1
126,chr9_35732064_35732704,TLN1
127,chr9_35732064_35732704,TLN1
128,chr9_35731843_35732722,TLN1
129,chr9_35731843_35732722,TLN1
130,chr9_35732036_35732877,TLN1
131,chr9_35732036_35732877,TLN1
132,chr9_35732031_35732811,TLN1
133,chr9_35732031_35732811,TLN1
134,chr9_35731933_35732679,TLN1
135,chr6_106783094_106783324,MIR587
136,chr1_108559084_108559452,FAM102B
137,chr1_108559020_108559626,FAM102B
138,chr1_108558911_108559510,FAM102B
139,chr1_108559141_108559640,FAM102B
140,chr1_108559141_108559640,FAM102B
141,chr1_108559174_108559500,FAM102B
142,chr4_7940771_7941745,AFAP1
143,chr4_7940632_7941710,AFAP1
144,chr4_7940632_7941710,AFAP1
145,chr4_7940776_7940947,AFAP1
146,chr18_46098841_46099073,ATP5F1A
147,chr19_38426895_38427134,RASGRP4
148,chr17_44140763_44141114,C17orf53
149,chr17_44140753_44140916,C17orf53
150,chr17_44140753_44140914,C17orf53
151,chr17_44140701_44141056,C17orf53
152,chr17_44140694_44140916,C17orf53
153,chr17_44140694_44140914,C17orf53
154,chr9_132978091_132978223,GFI1B
155,chr9_132978060_132978204,GFI1B
156,chr12_49741194_49741821,TMBIM6
157,chr12_49741194_49741821,TMBIM6
158,chr12_49741315_49741809,TMBIM6
159,chr12_49741338_49741643,TMBIM6
160,chr12_49741428_49741590,TMBIM6
161,chr12_49740740_49740998,TMBIM6
162,chr12_49741435_49741721,TMBIM6
163,chr12_49741514_49741719,TMBIM6
164,chr12_49741496_49741887,TMBIM6
165,chr12_49741501_49741876,TMBIM6
166,chr8_6926332_6926498,DEFA6
167,chr11_33775015_33775169,FBXO3-DT
168,chr17_40176853_40177166,RAPGEFL1
169,chr17_40176816_40177327,RAPGEFL1
170,chr17_40176836_40177365,RAPGEFL1
171,chr17_40177024_40177200,RAPGEFL1
172,chr17_40176855_40177167,RAPGEFL1
173,chr17_40176855_40177167,RAPGEFL1
174,chr17_40176857_40177200,RAPGEFL1
175,chr17_40176858_40177344,RAPGEFL1
176,chr17_40177036_40177198,RAPGEFL1
177,chr17_40176851_40177186,RAPGEFL1
178,chr17_40177069_40177302,RAPGEFL1
179,chr17_40176894_40177186,RAPGEFL1
180,chr17_40176836_40177193,RAPGEFL1
181,chr8_34783227_34783509,LINC01288
182,chr6_34514888_34515120,PACSIN1
183,chr6_34514599_34514767,PACSIN1
184,chr6_34514934_34515202,PACSIN1
185,chr16_29790846_29791022,KIF22
186,chr16_29790653_29791124,KIF22
187,chr16_29790653_29791266,KIF22
188,chr16_29790854_29791022,KIF22
189,chr16_29790856_29790996,KIF22
190,chr1_161749812_161749962,DUSP12
191,chr19_1401150_1401668,GAMT
192,chr19_1400847_1401648,GAMT
193,chr1_3650534_3650683,WRAP73
194,chr2_27308625_27310002,UCN
195,chr2_27308625_27310002,UCN
196,chr2_27308625_27310002,UCN
197,chr2_27308822_27309586,UCN
198,chr2_27308822_27309586,UCN
199,chr2_27308544_27310069,UCN
200,chr2_27308544_27310069,UCN
201,chr2_27308544_27310069,UCN
202,chr2_27308544_27310069,UCN
203,chr2_27308544_27310069,UCN
204,chr2_27308531_27310043,UCN
205,chr2_27308531_27310043,UCN
206,chr2_27308531_27310043,UCN
207,chr2_27309033_27309223,UCN
208,chr2_27309408_27309674,UCN
209,chr2_27308630_27309699,UCN
210,chr2_27308630_27309699,UCN
211,chr2_27308630_27309699,UCN
212,chr2_27308539_27308853,UCN
213,chr2_27309000_27309164,UCN
214,chr2_27309398_27310038,UCN
215,chr2_27308589_27308734,UCN
216,chr2_27309147_27310007,UCN
217,chr2_27308615_27309553,UCN
218,chr2_27309156_27309600,UCN
219,chr2_27308615_27310059,UCN
220,chr2_27308615_27310059,UCN
221,chr2_27308589_27310013,UCN
222,chr2_27308589_27310013,UCN
223,chr2_27308589_27310013,UCN
224,chr2_27308589_27310013,UCN
225,chr2_27309221_27309974,UCN
226,chr2_27309221_27309974,UCN
227,chr2_27309221_27309974,UCN
228,chr2_27308544_27309841,UCN
229,chr2_27308544_27309841,UCN
230,chr2_27308544_27309841,UCN
231,chr19_34363941_34364120,GPI
232,chr22_20116881_20117168,RANBP1
233,chr22_20116891_20117020,RANBP1
234,chr22_20116954_20117126,RANBP1
235,chr1_23194881_23195268,HTR1D
236,chr12_56333918_56334316,PAN2
237,chr12_56333877_56334301,PAN2
238,chr12_56333879_56334264,PAN2
239,chr12_56333654_56334269,PAN2
240,chr12_56333830_56334295,PAN2
241,chr12_56333831_56334256,PAN2
242,chr12_56333946_56334341,PAN2
243,chr3_177196338_177196779,TBL1XR1
244,chr3_177196129_177196808,TBL1XR1
245,chr3_177196134_177196835,TBL1XR1
246,chr3_177196124_177196792,TBL1XR1
247,chr3_177196260_177196808,TBL1XR1
248,chr3_177196142_177196788,TBL1XR1
249,chr3_177196116_177196823,TBL1XR1
250,chr3_177196122_177196813,TBL1XR1
251,chr3_177196122_177196710,TBL1XR1
252,chr3_177196122_177196710,TBL1XR1
253,chr3_177196116_177196826,TBL1XR1
254,chr3_177196116_177196826,TBL1XR1
255,chr3_177196116_177196826,TBL1XR1
256,chr3_177196092_177196788,TBL1XR1
257,chr3_177196127_177196710,TBL1XR1
258,chr3_177196086_177196711,TBL1XR1
259,chr3_177196117_177196808,TBL1XR1
260,chr1_204071999_204072225,SOX13
261,chr1_204073200_204074012,SOX13
262,chr1_204073200_204074012,SOX13
263,chr1_204071993_204072225,SOX13
264,chr1_204071958_204072182,SOX13
265,chr1_204072038_204072428,SOX13
266,chr8_1765119_1765652,LOC101927752
267,chr8_1765106_1765370,LOC101927752
268,chr8_1765168_1765630,LOC101927752
269,chr8_1765072_1765566,LOC101927752
270,chr8_1765044_1765653,LOC101927752
271,chr8_1765105_1765608,LOC101927752
272,chr8_1765119_1765636,LOC101927752
273,chr8_1765111_1765722,LOC101927752
274,chr8_1765059_1765630,LOC101927752
275,chr8_1765253_1765405,LOC101927752
276,chr8_1765030_1765347,LOC101927752
277,chr16_84819938_84820567,CRISPLD2
278,chr16_84819689_84820003,CRISPLD2
279,chr8_100156964_100157148,SPAG1
280,chr8_100157174_100157314,SPAG1
281,chr8_100157126_100157300,SPAG1
282,chr1_111989841_111990176,LINC01750
283,chr1_111989881_111990209,LINC01750
284,chr1_111989727_111990209,LINC01750
285,chr1_111989727_111990209,LINC01750
286,chr1_111989726_111989902,LINC01750
287,chr1_111990063_111990220,LINC01750
288,chr8_141001495_141001643,PTK2
289,chr8_141001466_141001625,PTK2
290,chr8_141001485_141001634,PTK2
291,chr2_38917852_38918444,ARHGEF33
292,chr2_38917874_38918449,ARHGEF33
293,chr2_38917961_38918504,ARHGEF33
294,chr16_47461076_47461315,ITFG1
295,chr10_73730947_73731268,GLUD1P3
296,chr10_73730962_73731326,GLUD1P3
297,chr10_73730716_73730946,GLUD1P3
298,chr3_73570349_73570660,PDZRN3
299,chr1_155064031_155064172,DCST1-AS1
300,chr16_56643604_56643841,MT1DP
301,chr16_56643851_56644467,MT1DP
302,chr16_56643851_56644467,MT1DP
303,chr22_43212445_43212629,LOC105373051
304,chr12_68932791_68933313,CPM
305,chr12_68933025_68933155,CPM
306,chr12_6444941_6446329,CD27
307,chr12_6444941_6446329,CD27
308,chr12_6444941_6446329,CD27
309,chr12_6444955_6446251,CD27
310,chr12_6444790_6446020,CD27
311,chr12_6444790_6446020,CD27
312,chr12_6444790_6446020,CD27
313,chr12_6444728_6445981,CD27
314,chr12_6444728_6445981,CD27
315,chr12_6444728_6445981,CD27
316,chr22_30266596_30266870,OSM
317,chr22_30266490_30266963,OSM
318,chr22_30266514_30266918,OSM
319,chr22_30266616_30266836,OSM
320,chr22_30266597_30266895,OSM
321,chr5_147558943_147559174,JAKMIP2-AS1
322,chr19_6767378_6767832,SH2D3A
323,chr19_6767329_6767531,SH2D3A
324,chr19_6767148_6768036,SH2D3A
325,chr19_6767186_6767900,SH2D3A
326,chr19_6767194_6767862,SH2D3A
327,chr19_6767194_6767862,SH2D3A
328,chr19_6767114_6767775,SH2D3A
329,chr19_6767114_6767775,SH2D3A
330,chr19_6767187_6767870,SH2D3A
331,chr19_6767187_6767870,SH2D3A
332,chr19_6767187_6767870,SH2D3A
333,chr19_6767211_6767967,SH2D3A
334,chr19_6767211_6767967,SH2D3A
335,chr19_6767211_6767967,SH2D3A
336,chr19_6767226_6767924,SH2D3A
337,chr19_6767199_6767855,SH2D3A
338,chr19_6767231_6768260,SH2D3A
339,chr19_6767231_6768260,SH2D3A
340,chr19_6767231_6768260,SH2D3A
341,chr19_6767249_6767873,SH2D3A
342,chr19_6767276_6768125,SH2D3A
343,chr19_6767276_6768125,SH2D3A
344,chr19_6767276_6768125,SH2D3A
345,chr19_6767276_6768125,SH2D3A
346,chr10_92244261_92244659,CPEB3
347,chr10_92244261_92244659,CPEB3
348,chr10_92244208_92244664,CPEB3
349,chr10_92244269_92244507,CPEB3
350,chr16_57668022_57668383,ADGRG3
351,chr16_57668024_57668433,ADGRG3
352,chr16_57668322_57668523,ADGRG3
353,chr16_57668076_57668502,ADGRG3
354,chr2_216658583_216658974,IGFBP2
355,chr2_216658583_216659011,IGFBP2
356,chr2_216658550_216659029,IGFBP2
357,chr2_216658575_216659030,IGFBP2
358,chr2_216658564_216659005,IGFBP2
359,chr2_216658573_216659029,IGFBP2
360,chr2_216658546_216659025,IGFBP2
361,chr2_216658546_216659017,IGFBP2
362,chr3_48635783_48636327,SLC26A6
363,chr3_48635819_48636301,SLC26A6
364,chr3_48635870_48636961,SLC26A6
365,chr3_48635870_48636961,SLC26A6
366,chr3_48635870_48636961,SLC26A6
367,chr3_48635870_48636961,SLC26A6
368,chr3_48635766_48637009,SLC26A6
369,chr3_48635766_48637009,SLC26A6
370,chr3_48635766_48637009,SLC26A6
371,chr3_48635766_48637009,SLC26A6
372,chr3_48635819_48636995,SLC26A6
373,chr3_48635819_48636995,SLC26A6
374,chr3_48635819_48636995,SLC26A6
375,chr3_48635820_48636961,SLC26A6
376,chr3_48635820_48636961,SLC26A6
377,chr3_48635820_48636961,SLC26A6
378,chr3_48635819_48636961,SLC26A6
379,chr3_48635819_48636961,SLC26A6
380,chr3_48635819_48636961,SLC26A6
381,chr3_48635806_48636977,SLC26A6
382,chr3_48635806_48636977,SLC26A6
383,chr3_48635806_48636977,SLC26A6
384,chr3_48635865_48636343,SLC26A6
385,chr3_48635865_48636343,SLC26A6
386,chr22_43201620_43201886,LOC105373051
387,chr22_43201615_43201896,LOC105373051
388,chr22_43201608_43201983,LOC105373051
389,chr22_43202145_43202276,LOC105373051
390,chr22_43201608_43202132,LOC105373051
391,chr22_43201736_43201886,LOC105373051
392,chr18_11488276_11488600,LINC01255
393,chr1_28736397_28736525,YTHDF2
394,chr3_71753062_71753294,EIF4E3
395,chr5_34007865_34008409,AMACR
396,chr5_34007865_34008409,AMACR
397,chr5_34007477_34008578,AMACR
398,chr5_34007789_34008614,AMACR
399,chr5_34007789_34008614,AMACR
400,chr5_34007526_34008571,AMACR
401,chr5_34007526_34008571,AMACR
402,chr5_34007727_34008516,AMACR
403,chr5_34007727_34008516,AMACR
404,chr5_34007727_34008516,AMACR
405,chr5_34007789_34008554,AMACR
406,chr5_34007789_34008554,AMACR
407,chr5_34007751_34008590,AMACR
408,chr5_34007751_34008590,AMACR
409,chr5_34007787_34008616,AMACR
410,chr5_34007787_34008616,AMACR
411,chr5_34007799_34008416,AMACR
412,chr5_34007799_34008416,AMACR
413,chr5_34007789_34008469,AMACR
414,chr5_34007789_34008469,AMACR
415,chr5_34007789_34008469,AMACR
416,chr5_34007750_34008432,AMACR
417,chr5_34007750_34008432,AMACR
418,chr5_34007772_34008414,AMACR
419,chr5_34007772_34008414,AMACR
420,chr5_34007772_34008485,AMACR
421,chr5_34007772_34008485,AMACR
422,chr5_34007772_34008506,AMACR
423,chr5_34007772_34008506,AMACR
424,chr11_636893_637289,DRD4
425,chr11_637064_637248,DRD4
426,chr11_636969_637437,DRD4
427,chr1_99645960_99646090,PALMD
428,chr1_99645948_99646105,PALMD
429,chr1_99645948_99646302,PALMD
430,chr1_99645971_99646341,PALMD
431,chr5_149379905_149380257,IL17B
432,chr5_149379750_149380483,IL17B
433,chr5_149379789_149380814,IL17B
434,chr5_149379755_149380963,IL17B
435,chr5_149379755_149380394,IL17B
436,chr5_149379755_149380394,IL17B
437,chr5_149379740_149380438,IL17B
438,chr5_149379735_149380372,IL17B
439,chr5_149379735_149380372,IL17B
440,chr5_149379735_149380318,IL17B
441,chr5_149379735_149380318,IL17B
442,chr5_149379765_149380814,IL17B
443,chr5_149379765_149380814,IL17B
444,chr5_149379748_149380977,IL17B
445,chr5_149379748_149380977,IL17B
446,chr5_149379748_149380977,IL17B
447,chr5_149379735_149380763,IL17B
448,chr5_149379694_149380537,IL17B
449,chr5_149379948_149380763,IL17B
450,chr5_149379948_149380763,IL17B
451,chr5_149379948_149380763,IL17B
452,chr5_149379803_149380814,IL17B
453,chr5_96079180_96079331,MIR583
454,chr5_96079163_96079316,MIR583
455,chr5_96079190_96079332,MIR583
456,chr5_111071684_111071817,TSLP
457,chr5_111071655_111071827,TSLP
458,chr5_111071674_111071862,TSLP
459,chr5_111071674_111071862,TSLP
460,chr5_111071714_111071862,TSLP
461,chr5_111071655_111071950,TSLP
462,chr7_2815659_2815848,GNA12
463,chr6_32967934_32968089,BRD2
464,chr6_167121902_167122289,CCR6
465,chr6_167121922_167122180,CCR6
466,chr11_64555170_64555310,SLC22A11
467,chr11_64555172_64555537,SLC22A11
468,chr5_9547762_9547972,SNORD123
469,chr5_9547759_9548050,SNORD123
470,chr15_25106292_25106834,SNORD116-29
471,chr15_25106292_25106660,SNORD116-29
472,chr15_25106286_25106710,SNORD116-29
473,chr15_25106286_25106710,SNORD116-29
474,chr15_25106299_25106648,SNORD116-29
475,chr1_39576429_39576825,PABPC4
476,chr1_39576402_39576815,PABPC4
477,chr1_39576476_39576750,PABPC4
478,chr1_39576413_39576799,PABPC4
479,chr1_39576030_39576753,PABPC4
480,chr1_39576119_39576760,PABPC4
481,chr1_39576334_39576820,PABPC4
482,chr1_39576334_39576820,PABPC4
483,chr5_1380604_1380842,LINC01511
484,chr5_1380337_1380939,LINC01511
485,chr5_1380337_1380939,LINC01511
486,chr5_1380355_1380788,LINC01511
487,chr5_1380368_1380716,LINC01511
488,chr5_1380569_1380788,LINC01511
489,chr16_68310191_68310480,SLC7A6OS
490,chr1_37765881_37766049,EPHA10
491,chr7_103280607_103280736,DPY19L2P2
492,chr19_48269289_48269517,ZNF114
493,chr19_48269086_48269360,ZNF114
494,chr19_48269262_48269413,ZNF114
495,chr19_48269095_48269412,ZNF114
496,chr19_48269044_48269369,ZNF114
497,chr19_48269063_48269429,ZNF114
498,chr19_48269015_48269385,ZNF114
499,chr19_48269239_48269519,ZNF114
500,chr12_1627840_1628683,WNT5B
501,chr12_1628189_1628701,WNT5B
502,chr12_1628189_1628701,WNT5B
503,chr12_1628191_1628830,WNT5B
504,chr12_1628191_1628830,WNT5B
505,chr12_1628191_1628830,WNT5B
506,chr12_1628303_1628689,WNT5B
507,chr12_1628206_1628685,WNT5B
508,chr12_1628248_1628698,WNT5B
509,chr12_1628248_1628857,WNT5B
510,chr12_1628465_1628823,WNT5B
511,chr8_143557160_143557539,LOC100310756
512,chr8_143557019_143557386,LOC100310756
513,chr8_143556877_143557396,LOC100310756
514,chr5_5140017_5140665,ADAMTS16
515,chr5_5139897_5140480,ADAMTS16
516,chr5_134904858_134905038,PCBD2
517,chr5_134904911_134905117,PCBD2
518,chr5_134904774_134905054,PCBD2
519,chr5_134904895_134905103,PCBD2
520,chr9_4984498_4985648,JAK2
521,chr9_4984469_4985734,JAK2
522,chr9_4984504_4985678,JAK2
523,chr9_4984404_4985498,JAK2
524,chr9_4984404_4985498,JAK2
525,chr9_4984400_4985533,JAK2
526,chr9_4984400_4985533,JAK2
527,chr9_4984470_4985579,JAK2
528,chr9_4984470_4985579,JAK2
529,chr9_4984400_4985566,JAK2
530,chr9_4984400_4985566,JAK2
531,chr9_4984498_4985394,JAK2
532,chr9_4984498_4985394,JAK2
533,chr9_4984626_4985425,JAK2
534,chr9_4984626_4985425,JAK2
535,chr9_4984641_4985579,JAK2
536,chr9_4984641_4985579,JAK2
537,chr9_4984641_4985579,JAK2
538,chr9_4984400_4985600,JAK2
539,chr9_4984400_4985600,JAK2
540,chr9_4984400_4985600,JAK2
541,chr9_4984698_4985301,JAK2
542,chr9_4984698_4985301,JAK2
543,chr9_4984646_4985533,JAK2
544,chr9_4984646_4985533,JAK2
545,chr9_4984400_4985401,JAK2
546,chr9_4984400_4985401,JAK2
547,chr1_161044631_161045030,USF1
548,chr1_161044586_161044990,USF1
549,chr1_161044527_161044971,USF1
550,chr1_161044551_161045037,USF1
551,chr1_161044551_161045037,USF1
552,chr1_161044577_161045051,USF1
553,chr1_161044577_161045051,USF1
554,chr1_161044530_161045061,USF1
555,chr1_161044537_161045051,USF1
556,chr1_161044537_161045051,USF1
557,chr1_161044525_161045061,USF1
558,chr1_161044525_161045061,USF1
559,chr1_161044517_161045061,USF1
560,chr1_161044517_161045061,USF1
561,chr1_161044517_161045061,USF1
562,chr10_22004249_22004573,DNAJC1
563,chr10_22004367_22004949,DNAJC1
564,chr10_22004608_22004963,DNAJC1
565,chr4_181830582_181830748,TEMN3-AS1
566,chrX_143883441_143883681,UBE2NL
567,chrX_143883153_143883754,UBE2NL
568,chrX_143883371_143883784,UBE2NL
569,chrX_143883441_143883715,UBE2NL
570,chrX_143883496_143883653,UBE2NL
571,chr1_159924005_159924165,TAGLN2
572,chr1_159923970_159924260,TAGLN2
573,chr1_159923970_159924238,TAGLN2
574,chr1_159923873_159924349,TAGLN2
575,chr1_159923970_159924265,TAGLN2
576,chr1_159923970_159924238,TAGLN2
577,chr1_159923941_159924238,TAGLN2
578,chr15_81198656_81199005,IL16
579,chr15_81198804_81198992,IL16
580,chr15_81198829_81198985,IL16
581,chr9_35406497_35406795,ATP8B5P
582,chr9_35406407_35407059,ATP8B5P
583,chr9_35406407_35407059,ATP8B5P
584,chr9_35406659_35406812,ATP8B5P
585,chr9_35406634_35406795,ATP8B5P
586,chr9_35406647_35406825,ATP8B5P
587,chr9_35406590_35406812,ATP8B5P
588,chr9_35406568_35406845,ATP8B5P
589,chr9_35406609_35406943,ATP8B5P
590,chr5_32709978_32710304,NPR3
591,chr5_32709963_32710432,NPR3
592,chr5_32709963_32710490,NPR3
593,chr5_32709963_32710558,NPR3
594,chr5_32710049_32710260,NPR3
595,chr5_32709963_32710316,NPR3
596,chr5_32710211_32710424,NPR3
597,chr5_32709963_32710470,NPR3
598,chr5_32709963_32710470,NPR3
599,chr11_64206655_64207180,FERMT3
600,chr11_64206207_64207227,FERMT3
601,chr11_64206504_64207252,FERMT3
602,chr11_64206504_64207252,FERMT3
603,chr6_45421950_45422291,RUNX2
604,chr6_45422136_45422296,RUNX2
605,chr15_39934095_39934398,EIF2AK4
606,chr15_39933655_39934611,EIF2AK4
607,chr15_39933655_39934611,EIF2AK4
608,chr15_39933750_39934746,EIF2AK4
609,chr15_39933750_39934746,EIF2AK4
610,chr15_39933650_39933841,EIF2AK4
611,chr15_39933628_39934793,EIF2AK4
612,chr15_39933628_39934793,EIF2AK4
613,chr15_39933628_39934793,EIF2AK4
614,chr15_39933628_39934793,EIF2AK4
615,chr15_39934054_39934776,EIF2AK4
616,chr15_39933511_39934363,EIF2AK4
617,chr15_39933511_39934363,EIF2AK4
618,chr15_39933511_39934363,EIF2AK4
619,chr15_39933650_39934414,EIF2AK4
620,chr15_39934200_39934819,EIF2AK4
621,chr6_11044178_11044817,ELOVL2-AS1
622,chr6_11043992_11044796,ELOVL2-AS1
623,chr6_11044276_11044877,ELOVL2-AS1
624,chr6_11043930_11044665,ELOVL2-AS1
625,chr6_11044386_11044737,ELOVL2-AS1
626,chr6_11043928_11044906,ELOVL2-AS1
627,chr9_21031412_21031693,HACD4
628,chr9_21031091_21031808,HACD4
629,chr9_21031290_21031783,HACD4
630,chr9_21031135_21031693,HACD4
631,chr9_21031330_21031691,HACD4
632,chr9_21031267_21031763,HACD4
633,chr9_21031573_21031701,HACD4
634,chr9_21031173_21031700,HACD4
635,chr9_21031496_21031742,HACD4
636,chr9_21031267_21031700,HACD4
637,chr1_16212817_16213041,ARHGEF19
638,chr1_16212812_16213215,ARHGEF19
639,chr1_16212759_16213222,ARHGEF19
640,chr1_16212543_16213077,ARHGEF19
641,chr1_16212731_16213077,ARHGEF19
642,chr1_16212826_16213110,ARHGEF19
643,chr1_16212691_16213101,ARHGEF19
644,chr1_16212807_16213064,ARHGEF19
645,chr1_16212769_16213077,ARHGEF19
646,chr1_16212769_16213077,ARHGEF19
647,chr1_16212766_16213082,ARHGEF19
648,chr1_16212797_16213096,ARHGEF19
649,chr1_16212754_16213142,ARHGEF19
650,chr1_16212813_16213077,ARHGEF19
651,chr1_16212338_16213212,ARHGEF19
652,chr16_4313697_4314243,GLIS2
653,chr18_6414041_6415448,L3MBTL4
654,chr18_6414041_6415448,L3MBTL4
655,chr18_6414042_6415197,L3MBTL4
656,chr18_6414042_6415197,L3MBTL4
657,chr18_6414042_6415197,L3MBTL4
658,chr18_6414062_6415400,L3MBTL4
659,chr18_6414062_6415400,L3MBTL4
660,chr18_6414062_6415400,L3MBTL4
661,chr18_6414062_6415400,L3MBTL4
662,chr18_6414554_6414919,L3MBTL4
663,chr7_116209931_116210265,TES
664,chr7_116209832_116210069,TES
665,chr7_116209919_116210282,TES
666,chr7_116209866_116210088,TES
667,chr7_116209871_116210038,TES
668,chr7_116209878_116210116,TES
669,chr7_116209866_116210131,TES
670,chr11_58941608_58942412,GLYATL1
671,chr11_58941608_58942412,GLYATL1
672,chr11_58941740_58942420,GLYATL1
673,chr11_58941740_58942420,GLYATL1
674,chr11_58941793_58942447,GLYATL1
675,chr11_58941793_58942447,GLYATL1
676,chr11_58941531_58942436,GLYATL1
677,chr11_58941531_58942436,GLYATL1
678,chr11_58941531_58942436,GLYATL1
679,chr11_58941531_58942436,GLYATL1
680,chr11_58941531_58942436,GLYATL1
681,chr11_58942207_58942436,GLYATL1
682,chr11_58942155_58942431,GLYATL1
683,chr11_58942207_58942436,GLYATL1
684,chr11_58942281_58942419,GLYATL1
685,chr5_140346243_140346688,HBEGF
686,chr5_140346144_140346935,HBEGF
687,chr5_140346144_140346935,HBEGF
688,chr5_140345893_140346809,HBEGF
689,chr5_140345893_140346809,HBEGF
690,chr5_140345893_140346809,HBEGF
691,chr5_140345893_140346809,HBEGF
692,chr5_140346111_140346857,HBEGF
693,chr5_140346145_140346703,HBEGF
694,chr5_140345956_140346739,HBEGF
